50705000010000001,551,0001,0000001,
50705000010000002,524,0001,0000002,
50705000010000003,743,0001,0000003,
50705000010000004,847,0001,0000004,
50705000010000005,886,0001,0000005,
50705000010000006,805,0001,0000006,
50705000010000007,1701,0001,0000007,
50705000010000008,270,0001,0000008,
50705000010000009,28,0001,0000009,
50705000010000010,603,0001,0000010,
50705000010000011,357,0001,0000011,
50705000010000012,373,0001,0000012,
50705000010000013,192,0001,0000013,
50705000010000014,722,0001,0000014,
50705000010000015,131,0001,0000015,
50705000010000016,108,0001,0000016,
